NOMBRE EN LA BdeD,#Phase,Normalized_Phase
V414,8.0,8
indexvacuna12m,8.0,8
indexvacuna12msinMMR,8.0,8
V420,8.0,8
V412,8.0,8
mortalidad40sem12meses,8.0,8
V10B,8.0,8
motivosimplificadosdesercion,8.0,8
MUERTE1ANO,8.0,8
V10D,8.0,8
V401,8.0,8
V428B,8.0,8
V409,8.0,8
V408,8.0,8
V411,8.0,8
V410,8.0,8
V430A,8.0,8
V402,8.0,8
V415,8.0,8
V402C,8.0,8
V402D,8.0,8
V421,8.0,8
vacunas12mpenta,8.0,8
V402G,8.0,8
V424,8.0,8
V430B1,8.0,8
resptometria,8.0,8
riesgoPC12m,8.0,8
V428A,8.0,8
rsm12m,8.0,8
V428,8.0,8
V419,8.0,8
vacunas12mBCG,8.0,8
vacunas12mMMR,8.0,8
vino12m,8.0,8
,,0
,,0
,,0
,,0
,,0
,,0
